date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:51	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261c0d288-4d7%22	https://mattfarley.ca/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://mattfarley.ca/)
11:43:52	5455/5455	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2027%20Dec%202021%2010:43:50%20GMT	https://mattfarley.ca/js/main-min.js	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/js/main-min.js	(from https://mattfarley.ca/)
11:43:52	70391/70391	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2024%20Dec%202021%2010:01:47%20GMT	https://assets.calendly.com/assets/external/widget.js	C:/Mes%20Sites%20Web/Portfolio/assets.calendly.com/assets/external/widget.js	(from https://mattfarley.ca/)
11:43:52	11276/11276	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Dec%202021%2010:43:50%20GMT	https://usebasin.com/f/363b98eca5af/ahoy.js	C:/Mes%20Sites%20Web/Portfolio/usebasin.com/f/363b98eca5af/ahoy.2c.delayed	(from https://mattfarley.ca/)
11:43:53	4634/4634	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Dec%202021%2010:43:51%20GMT	https://use.typekit.net/ojv4ekx.css	C:/Mes%20Sites%20Web/Portfolio/use.typekit.net/ojv4ekx.css	(from https://mattfarley.ca/css/main.css)
11:43:53	327/327	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Dec%202021%2010:01:47%20GMT	https://assets.calendly.com/assets/external/close-icon.svg	C:/Mes%20Sites%20Web/Portfolio/assets.calendly.com/assets/external/close-icon.svg	(from https://assets.calendly.com/assets/external/widget.css)
11:43:54	34177/34177	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:43:52%20GMT	https://mattfarley.ca/img/mentorship.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/mentorship.svg	(from https://mattfarley.ca/mentorship.html)
11:43:54	7062/7062	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Dec%202021%2010:43:52%20GMT	https://mattfarley.ca/mentorship-inquiry	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/mentorship-inquiry.html	(from https://mattfarley.ca/mentorship.html)
11:43:55	6842104/6842104	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:43:52%20GMT	https://mattfarley.ca/img/mentee-map.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/mentee-map.svg	(from https://mattfarley.ca/mentorship.html)
11:43:59	7535/7535	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:43:57%20GMT	https://mattfarley.ca/img/logos/facebook.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/facebook.svg	(from https://mattfarley.ca/mentorship.html)
11:44:05	5455/5455	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2027%20Dec%202021%2010:44:02%20GMT	https://mattfarley.ca/img/logos/netflix.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/netflix.svg	(from https://mattfarley.ca/mentorship.html)
11:44:05	5455/5455	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2027%20Dec%202021%2010:44:03%20GMT	https://mattfarley.ca/img/logos/sony.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/sony.svg	(from https://mattfarley.ca/mentorship.html)
11:44:05	9952/9952	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:44:03%20GMT	https://mattfarley.ca/img/logos/microsoft.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/microsoft.svg	(from https://mattfarley.ca/mentorship.html)
11:44:05	45347/45347	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:44:03%20GMT	https://mattfarley.ca/img/logos/thumbtack.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/thumbtack.svg	(from https://mattfarley.ca/mentorship.html)
